Transaction ID,Date,Product,Region,Price,Quantity,Category,Cost Price,Store Type,Manager,Revenue,Cost,Profit,Margin %
T0001,2024-04-14,Vacuum Cleaner,West,617.49,5,Home,150,Suburban,Carlos Reyes,3087.45,750,2337.45,75.71
T0002,2024-03-07,Smartphone,South,51.59,1,Electronics,600,Rural,Nina Patel,51.59,600,-548.41,-1063.02
T0003,2024-05-20,Headphones,South,159.07,4,Electronics,40,Rural,Nina Patel,636.28,160,476.28,74.85
T0004,2024-04-11,Monitor,West,709.28,3,Electronics,180,Suburban,Carlos Reyes,2127.84,540,1587.8400000000001,74.62
T0005,2024-05-17,Headphones,West,474.02,3,Electronics,40,Suburban,Carlos Reyes,1422.06,120,1302.06,91.56
T0006,2024-01-28,Air Fryer,East,645.81,3,Kitchen,90,Urban,Angela Smith,1937.4299999999998,270,1667.4299999999998,86.06
T0007,2024-05-26,Microwave,West,976.31,5,Kitchen,120,Suburban,Carlos Reyes,4881.549999999999,600,4281.549999999999,87.71
T0008,2024-05-08,Monitor,West,900.71,4,Electronics,180,Suburban,Carlos Reyes,3602.84,720,2882.84,80.02
T0009,2024-02-03,Vacuum Cleaner,West,669.04,4,Home,150,Suburban,Carlos Reyes,2676.16,600,2076.16,77.58
T0010,2024-02-04,Microwave,West,242.71,3,Kitchen,120,Suburban,Carlos Reyes,728.13,360,368.13,50.56
T0011,2024-01-13,Headphones,East,209.01,5,Electronics,40,Urban,Angela Smith,1045.05,200,845.05,80.86
T0012,2024-03-03,Air Fryer,West,204.33,2,Kitchen,90,Suburban,Carlos Reyes,408.66,180,228.66000000000003,55.95
T0013,2024-06-11,Microwave,South,848.87,5,Kitchen,120,Rural,Nina Patel,4244.35,600,3644.3500000000004,85.86
T0014,2024-05-03,Monitor,South,128.97,4,Electronics,180,Rural,Nina Patel,515.88,720,-204.12,-39.57
T0015,2024-02-07,Desk Lamp,East,335.49,1,Home,25,Urban,Angela Smith,335.49,25,310.49,92.55
T0016,2024-01-06,Smartphone,East,228.65,2,Electronics,600,Urban,Angela Smith,457.3,1200,-742.7,-162.41
T0017,2024-04-24,Smartphone,East,949.39,2,Electronics,600,Urban,Angela Smith,1898.78,1200,698.78,36.8
T0018,2024-02-08,Toaster,East,197.15,4,Kitchen,30,Urban,Angela Smith,788.6,120,668.6,84.78
T0019,2024-01-01,Desk Lamp,West,45.9,3,Home,25,Suburban,Carlos Reyes,137.7,75,62.69999999999999,45.53
